25,0.00530421,-44.2906,0.540557,-10.917,0.01229,6.4211
43,0.00858009,59.5597,-1.06334,-2.36405,0.00734,6.3456
63,0.0121207,45.2533,0.165252,-0.0010013,0.00532,6.3484
88,0.0179394,-48.8099,-0.18586,-0.581998,0.0055,5.869
106,0.0220144,49.9816,0.139961,-1.173,0.00501,6.3864
107,0.0222555,-50.3374,0.0823063,1.14,0.00601,5.6243
122,0.0265838,-77.0657,-1.70668,-17.7059,0.01502,4.9354
124,0.0269486,61.2228,-0.0434838,-0.0740001,0.00106,5.6725
137,0.0288472,42.3671,0.0498077,-0.198,0.00267,6.2437
145,0.0304024,-3.0275,0.127378,-0.966,0.00718,5.0831
154,0.0326722,-6.01407,0.324385,-4.094,0.00755,4.412
171,0.0361546,27.0823,5.84191,-91.7763,0.08217,5.8735
183,0.0388668,-29.7204,0.0716982,1.45,0.00649,4.9895
186,0.0400464,8.95682,-0.00553415,-0.368,0.00814,6.3912
194,0.0415839,8.48546,-0.634276,-4.74201,0.0271,5.7806
207,0.0433586,66.099,0.0959296,-0.23,0.00073,6.0384
238,0.0493024,-20.0459,0.717322,7.80302,0.01635,6.3687
274,0.0571428,63.6405,-0.0354353,-0.136,0.00131,6.3325
301,0.06233,-17.336,0.175785,-0.915999,0.01198,4.5366
302,0.0643448,66.7122,0.157835,-0.831001,0.00376,6.3544
330,0.0704617,62.2877,-0.0189234,0.014,0.00084,5.9712
343,0.072164,-16.529,0.331291,-6.136,0.01103,5.9562
345,0.0723102,-29.2688,0.217271,0.403002,0.00801,6.3909
355,0.0750329,-10.5095,-0.0464458,-1.202,0.00156,5.0996
365,0.0768297,42.0925,-0.101968,-1.264,0.00259,6.1627
377,0.0781409,-71.4369,0.620285,-1.27599,0.0057,5.5635
379,0.0783282,67.1664,1.64805,2.31991,0.01079,5.8511
394,0.0816001,34.6598,6.23418,9.96726,0.02552,6.2283
399,0.0822223,26.6488,0.835037,-1.35903,0.005,6.3941
417,0.0843953,-0.503036,0.303345,-5.367,0.0072,6.4798
418,0.0850416,61.314,0.198468,0.237998,0.00451,5.7814
443,0.0889283,-5.70762,-0.0438172,8.785,0.02532,4.7803
476,0.0949894,13.3963,0.29866,-0.596002,0.00875,5.7076
518,0.104393,58.4367,3.14892,1.56758,0.04656,6.1061
522,0.105327,-49.0752,5.85477,-3.91738,0.03889,5.8163
531,0.107372,64.1962,0.160199,0.00999904,0.00376,5.5684
544,0.110218,29.0215,2.90456,-17.8683,0.07315,6.2093
560,0.113913,-23.1075,0.708946,-4.71198,0.02539,6.275
602,0.121741,-17.387,-0.0524638,1.588,0.00568,6.2536
635,0.12892,-2.54868,0.195727,0.191,0.00545,6.3985
636,0.129694,-22.5086,0.501035,-3.49699,0.01276,5.9806
655,0.134302,-33.5293,-0.348287,0.332005,0.01053,5.8385
664,0.136693,-2.44771,0.0477102,-0.484,0.00358,6.3245
671,0.138203,-8.82411,-0.238962,-3.585,0.01016,6.1569
677,0.139794,29.0904,1.04868,-16.344,0.03362,2.0371
696,0.142638,-17.5782,0.101961,-4.776,0.00173,6.201
699,0.144705,36.6271,-0.951315,-12.506,0.03082,6.3175
716,0.147816,25.463,0.772432,5.46998,0.00722,6.4099
729,0.150673,18.212,0.982693,-2.56403,0.01144,5.7323
730,0.150665,-54.0019,0.531851,1.07601,0.00779,6.4622
746,0.152968,59.1498,6.80574,-17.9789,0.05958,2.3579
760,0.155604,79.7145,3.94614,-3.94526,0.00948,6.0767
761,0.155852,-27.9879,0.529304,-0.896989,0.01291,5.51
765,0.156845,-45.7474,1.16095,-17.9829,0.02262,4.0452
798,0.164477,-62.2968,0.242637,1.75,0.00756,6.3956
813,0.167279,11.1458,0.20996,0.174999,0.01068,5.5212
814,0.167271,-82.224,-1.06677,-2.03399,0.01281,5.453
840,0.171909,-5.24859,0.246299,-2.921,0.01715,6.0071
841,0.172013,46.0723,0.0527567,0.0279999,0.00265,5.1174
873,0.178565,-12.5799,1.01722,-3.91498,0.01333,6.0159
910,0.187738,-15.468,-0.576759,-27.017,0.05334,5.0025
930,0.192894,-27.7997,0.0257748,1.98,0.00411,5.577
950,0.195558,-35.1331,1.38441,11.4561,0.047,5.3425
967,0.199746,48.1524,0.606659,1.00298,0.00495,6.3112
983,0.202773,-17.9383,0.387994,-2.495,0.00524,5.4056
1067,0.220598,15.1836,0.0136775,-0.928,0.00833,2.7544
1074,0.222117,-84.994,0.826637,1.77001,0.00335,5.8488
1076,0.223311,26.9875,-0.137657,-3.25,0.00761,6.3777
1086,0.225233,41.0354,-1.08886,-14.6411,0.02865,5.7891
1096,0.228401,-26.0223,0.281097,-7.867,0.00252,6.0582
1099,0.228994,-26.285,-0.0248345,1.031,0.00377,6.2668
1123,0.233967,33.206,-0.0727455,-1.929,0.00969,6.2305
1158,0.241008,-7.78053,0.421346,0.437002,0.0056,5.1798
1168,0.243379,20.2067,0.644749,0.123987,0.00886,4.8756
1170,0.244005,-18.9329,-0.184305,-7.358,0.00729,4.5262
1191,0.248477,-9.56957,0.161244,-0.773,0.00963,5.7506
1193,0.248861,22.2842,0.324863,-1.08,0.0071,6.2571
1195,0.249517,-34.9042,0.619348,-1.18498,0.00514,6.3152
1196,0.249678,8.82096,0.670733,-2.36201,0.01286,6.1001
1208,0.251931,31.5357,0.256243,-0.486003,0.00349,6.4635
1215,0.252935,27.2834,0.115143,-1.601,0.0074,6.362
1288,0.26913,-31.4464,0.925926,-2.69196,0.00657,5.811
